epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9401,1.25346,2.62223,1.88491,0.00333,1,0.09204,0.06492,0.62901,3.14948,1.64401,0,0,0
2,19.6433,0.76969,2.42797,1.39688,0.00333,1,0.11238,0.0614,0.61601,3.15099,1.61502,1.9604e-05,1.9604e-05,1.9604e-05
3,25.7772,0.90105,2.47147,1.4569,0.00333,1,0.14445,0.07774,0.58011,3.15272,1.62449,3.8416e-05,3.8416e-05,3.8416e-05
4,31.5558,0.73756,2.39202,1.33582,0.00333,1,0.18257,0.10853,0.5371,3.13804,1.57405,5.6436e-05,5.6436e-05,5.6436e-05
5,37.3346,0.66158,2.34482,1.30873,0.00333,1,0.20067,0.14047,0.51253,3.12801,1.50552,7.3664e-05,7.3664e-05,7.3664e-05
6,43.2722,0.70504,2.38988,1.39119,0.00333,1,0.30786,0.26513,0.4536,3.14456,1.43304,9.01e-05,9.01e-05,9.01e-05
7,49.0745,0.73758,2.2415,1.41757,0.00333,1,0.41417,0.3395,0.38726,3.16344,1.32348,0.000105744,0.000105744,0.000105744
8,55.7481,0.55277,2.13101,1.27466,0.00333,1,0.82833,0.67892,0.34149,3.17476,1.15136,0.000120596,0.000120596,0.000120596
9,62.4476,0.78372,1.98192,1.45284,0.00333,1,0.82833,0.67892,0.33273,3.15214,1.11365,0.000134656,0.000134656,0.000134656
10,68.3131,0.70742,1.75766,1.35944,0.00333,1,0.82833,0.67892,0.35989,3.0912,1.13757,0.000147924,0.000147924,0.000147924
11,74.579,0.60861,1.57523,1.24282,0.00333,1,0.82833,0.57196,0.37489,3.03594,1.15463,0.0001604,0.0001604,0.0001604
12,80.4521,0.46442,1.44585,1.17834,0.00333,1,0.745,0.64554,0.37706,3.01542,1.1942,0.000172084,0.000172084,0.000172084
13,86.2902,0.58275,1.37727,1.22688,0.00333,1,0.995,0.84513,0.45216,2.95777,1.27176,0.000182976,0.000182976,0.000182976
14,92.4087,0.536,1.22849,1.23206,0.00333,1,0.995,0.79559,0.40726,3.04944,1.22811,0.000193076,0.000193076,0.000193076
15,99.1381,0.4891,1.22029,1.17754,0.00333,1,0.995,0.79517,0.42419,2.99421,1.281,0.000202384,0.000202384,0.000202384
16,105.349,0.39489,1.11828,1.11149,0.00333,1,0.995,0.79517,0.45863,3.00124,1.37249,0.0002109,0.0002109,0.0002109
17,111.211,0.54696,1.29109,1.30821,0.00333,1,0.995,0.69617,0.46573,3.03432,1.38216,0.000218624,0.000218624,0.000218624
18,116.779,0.41447,0.99316,1.15282,0.00333,1,0.995,0.69617,0.46573,3.03432,1.38216,0.000225556,0.000225556,0.000225556
19,123.038,0.65705,1.19752,1.28661,0.00333,1,0.995,0.69634,0.49464,2.98623,1.30089,0.000231696,0.000231696,0.000231696
20,129.678,0.53445,1.23684,1.27062,0.00333,1,0.995,0.69634,0.49464,2.98623,1.30089,0.000237044,0.000237044,0.000237044
21,135.876,0.68627,1.16554,1.41075,0.00333,1,0.995,0.84554,0.51562,2.84297,1.35939,0.0002416,0.0002416,0.0002416
22,142.17,0.50147,1.01559,1.12324,0.00333,1,0.995,0.84554,0.51562,2.84297,1.35939,0.000245364,0.000245364,0.000245364
23,148.121,0.55304,1.05337,1.26804,0.00333,1,0.995,0.8955,0.51559,2.66585,1.32119,0.000248336,0.000248336,0.000248336
24,153.64,0.63716,1.05655,1.23824,0.00333,1,0.995,0.8955,0.51559,2.66585,1.32119,0.000250516,0.000250516,0.000250516
25,160.64,0.43059,1.1158,1.1241,0.09002,1,0.995,0.84554,0.48018,2.51126,1.22732,0.000251904,0.000251904,0.000251904
26,166.609,0.49295,1.04662,1.24443,0.09002,1,0.995,0.84554,0.48018,2.51126,1.22732,0.0002525,0.0002525,0.0002525
27,172.074,0.43763,0.92318,1.19043,0.74596,1,0.995,0.8955,0.50334,2.3221,1.2087,0.000252304,0.000252304,0.000252304
28,177.871,0.55261,1.04535,1.24853,0.74596,1,0.995,0.8955,0.50334,2.3221,1.2087,0.000251316,0.000251316,0.000251316
29,184.75,0.41363,0.86876,1.07029,0.84472,1,0.995,0.8955,0.46245,2.28382,1.15451,0.000249536,0.000249536,0.000249536
30,190.974,0.37493,0.86212,1.06758,0.84472,1,0.995,0.8955,0.46245,2.28382,1.15451,0.000246964,0.000246964,0.000246964
31,196.909,0.4734,0.93003,1.08114,0.9056,1,0.995,0.8955,0.40903,2.33521,1.09008,0.0002436,0.0002436,0.0002436
32,203.53,0.53207,1.0166,1.17486,0.9056,1,0.995,0.8955,0.40903,2.33521,1.09008,0.000239444,0.000239444,0.000239444
33,209.687,0.47951,0.90531,1.15199,0.89157,1,0.995,0.94504,0.43021,2.38443,1.07838,0.000234496,0.000234496,0.000234496
34,215.446,0.30556,0.77311,0.98834,0.89157,1,0.995,0.94504,0.43021,2.38443,1.07838,0.000228756,0.000228756,0.000228756
35,221.54,0.40755,0.80748,1.0444,0.84965,1,0.995,0.94504,0.42568,2.39204,1.09236,0.000222224,0.000222224,0.000222224
36,226.95,0.40182,0.89398,1.07854,0.84965,1,0.995,0.94504,0.42568,2.39204,1.09236,0.0002149,0.0002149,0.0002149
37,231.95,0.46243,0.90786,1.15148,0.74136,1,0.995,0.84554,0.43974,2.5111,1.14783,0.000206784,0.000206784,0.000206784
38,237.693,0.46934,0.90574,1.15054,0.74136,1,0.995,0.84554,0.43974,2.5111,1.14783,0.000197876,0.000197876,0.000197876
39,243.096,0.36109,0.76654,1.10501,0.66805,1,0.995,0.92029,0.43482,2.62518,1.1683,0.000188176,0.000188176,0.000188176
40,248.557,0.57752,1.01515,1.26029,0.66805,1,0.995,0.92029,0.43482,2.62518,1.1683,0.000177684,0.000177684,0.000177684
41,253.753,0.37204,2.00115,1.0931,0.68789,1,0.995,0.94504,0.43806,2.57198,1.13975,0.0001664,0.0001664,0.0001664
42,259.293,0.8552,2.64314,1.5253,0.68789,1,0.995,0.94504,0.43806,2.57198,1.13975,0.000154324,0.000154324,0.000154324
43,264.908,0.32437,1.67233,1.05822,0.80466,1,0.995,0.94504,0.43401,2.52456,1.11601,0.000141456,0.000141456,0.000141456
44,270.224,0.3607,1.78927,0.96876,0.80466,1,0.995,0.94504,0.43401,2.52456,1.11601,0.000127796,0.000127796,0.000127796
45,275.555,0.53673,2.22675,1.20963,0.86788,1,0.995,0.94504,0.44182,2.43476,1.13759,0.000113344,0.000113344,0.000113344
46,281.479,0.31801,1.57755,1.09829,0.86788,1,0.995,0.94504,0.44182,2.43476,1.13759,9.81e-05,9.81e-05,9.81e-05
47,287.171,0.24894,1.37235,0.9908,0.91971,1,0.995,0.92029,0.43832,2.3912,1.13079,8.2064e-05,8.2064e-05,8.2064e-05
48,292.736,0.30685,1.4867,1.04116,0.91971,1,0.995,0.92029,0.43832,2.3912,1.13079,6.5236e-05,6.5236e-05,6.5236e-05
49,297.903,0.30566,1.49968,1.10708,0.93574,1,0.995,0.92029,0.44696,2.35511,1.13326,4.7616e-05,4.7616e-05,4.7616e-05
50,303.295,0.25162,1.37931,1.01324,0.93574,1,0.995,0.92029,0.44696,2.35511,1.13326,2.9204e-05,2.9204e-05,2.9204e-05
